district_number,mean_LOCGVT,mean_STGVT,mean_TOTINCM,mean_TOTEXPCO,mean_TOTOPEXP,mean_BKVOL,mean_EBOOK,mean_AUDIO_PH,mean_VIDEO_PH,mean_VISITS,mean_ELMATCIR,mean_TOTCIR,mean_TOTPRO,mean_KIDPRO,mean_YAPRO,mean_TOTATTEN,mean_KIDATTEN,mean_YAATTEN,mean_MASTER,mean_LIBRARIA,mean_TOTSTAFF,mean_HRS_OPEN,total_below_pov,under18_below_pov,ACT_Score_15,RLA_Score_15
234,32.41935483870968,2.1541783083566166,35.411099822199645,3.735585471170942,30.21717043434087,4.769113538227076,16.549022098044198,0.06743713487426975,0.06146812293624587,3.873507747015494,0.14528829057658116,4.07264414528829,0.010668021336042673,0.009398018796037593,0.00127000254000508,0.2332994665989332,0.2301244602489205,0.0031750063500127,1,2,5.3,2600,19.7,28.8,21.7,34
206,37.64906695295776,6.542476265528375,46.457880320628405,6.937198093957854,41.35448337761188,10.207033037339608,141.4927257852834,0.30723782176182807,1.0941110048369034,7.7720144044920865,0.3044754488450423,10.33576100266498,0.0378087169188226,0.02527593890000913,0.0076106850871765705,0.7252284999983868,0.6261578875016175,0.04026196279345485,0.49777777777777776,1.45,3.53,1837.2222222222222,8.2,11.9,20.4,46
484,27.754505106428624,13.87334996386823,50.45075122305025,3.8255184886702653,43.74344144659435,13.383752702774828,330.6991462599994,0.11723252623303933,1.56917530173818,12.152060517985618,0.09766302160008523,9.889535963754543,0.07860006934188637,0.040068095733978196,0.03494903677554445,0.7970589262634051,0.623241219572087,0.10322066341297959,0,1.0116666666666667,1.4433333333333334,1404,19.2,31.5,21.5,25
249,58.57502910301394,3.12497268470348,66.0597527747726,4.29849881071701,61.06350317073168,7.409421283159549,26.70404266565324,0.5405278367406237,0.8910512666075145,12.059164808483832,0.12032013686665513,9.529790931487772,0.057949876788959624,0.035539654242366596,0.013926690005662342,1.0228019554622476,0.7731193416135594,0.11356729514747713,1,5.875,11.075,2912,10.6,11.4,22,43
499,20.82636547538773,2.6469993256911666,23.473364801078894,4.315239379635873,22.17565745111261,9.26062036412677,43.933580579905595,0.2852326365475388,0.008091706001348618,2.353674983142279,0,2.320296695886716,0.010451786918408631,0.006743088334457181,0.0033715441672285905,0.3317599460552933,0.2869184086311531,0.030681051921780174,0,1.2,1.55,2576,15.1,18.3,20.3,31
457,49.7914300904405,0.5657317967031229,54.00308890229083,7.4306111538392035,50.52393660694521,9.354818260669223,29.110034739633452,0.42355719277560183,0.46503938984283594,8.638951941060078,0.2673501938010761,10.825934658205375,0.05317647135222555,0.03691326046593574,0.004227215385727387,0.966240609231075,0.703943741783783,0.02596981006139293,0.3333333333333333,3.01,7.62,3274.6666666666665,17.6,26,19.7,27
231,32.206900696093854,1.6198110572640847,36.68736741913622,4.2815389310054535,32.94629646055141,1.3952747734815034,9.04775930675567,0.06710853763140208,0.22105078041450335,4.728054686213222,0.39674822108440466,9.325025471028102,0.013522765624594165,0.011011258263599898,0.0017847849531746895,0.5590687152303683,0.503091564608036,0.032605398141074826,6.78,9.055,28.48,4557.5,4.4,4.6,23.5,50
365,45.675935048590695,11.968757103587045,66.98484520204381,7.495823357552318,69.1305742099394,14.208345269458297,223.24427526496734,0.28632756049640534,2.0318882412623736,8.051178168478023,0.3606163560504118,14.060916194963449,0.19568554356899914,0.11900037182039687,0.03517147943397813,1.659570633736558,1.2107191630258816,0.15294216173249622,0.3333333333333333,4.14,4.666666666666666,3769.8333333333335,18.2,29.7,20.2,44
248,35.437180643952416,3.9645813220927337,49.86517098393233,3.3426467006095293,44.7309801649929,11.431749346929324,306.5648746796363,0.3069034381390597,1.4055610957531037,7.904075111507574,0.2309917751777787,9.126411582111764,0.03538696946507546,0.02445111269386348,0.006602432003688512,0.6115544266305576,0.4351842686486629,0.057909625768241914,0.5,2.466666666666667,4.75,1764.6666666666667,10.9,14.8,21.8,44
265,23.55523314205829,5.4421997494417145,32.61875667640967,3.1997399624086373,27.2511739816591,6.660864746349906,115.42636663061619,0.09852579365680846,0.3968560667948595,3.9773268872840686,0.4528972047879477,7.456151669811208,0.06888141174812579,0.04918321829665361,0.013953328656412703,1.0667134553832958,0.9231760264926281,0.05609642309037338,0.3,1.6633333333333333,1.9833333333333334,1733.3333333333333,3.6,4.2,22.3,56
352,48.36780851998243,1.870663153271849,52.760430390865174,5.802591128678086,52.20421607378129,9.055994729907773,28.61374615722442,0.46332894158981114,0.3451910408432148,11.5098814229249,0.31488801054018445,10.361220904699165,0.13219148001756698,0.06499780412823891,0.010759771629336846,1.6286780851998244,0.9920948616600791,0.10979358805445762,0,3.85,4.05,2810,19.2,27.2,19.8,36
428,31.534921284921285,5.667266047471031,38.61807399697271,8.879317411170305,36.686295353377346,12.92280274647638,53.96296111406642,0.21253474499053276,0.609710905731806,11.496176679456422,0.35128883633706787,11.329447550810091,0.2060542949409509,0.17301078665628505,0.010767521760287033,4.46734551161802,3.973231944674871,0.15837531114862305,0.4166666666666667,1.46,5.58,2674,17.3,24.2,21.1,31
440,31.36327779666301,4.018961737747152,36.8982081971879,6.484405378261533,35.31040811999064,7.674652774820922,70.29799811052338,0.19638616327002087,0.44881191961653755,5.89338606610805,0.32351031515688816,5.922864838372913,0.03211306686702588,0.02371341849316192,0.0040719336856364806,0.5771340900772718,0.4986808225848551,0.035742684273702745,0.2857142857142857,1.1885714285714286,3.2014285714285715,2124.5714285714284,10.6,15.4,22.7,41
252,36.27465933691554,3.551695671518485,46.03486828259818,4.950869116549505,39.350914675318805,7.6408474080224185,122.91132416001751,0.2091212669518436,0.4620915153940615,8.12092579296607,0.2775153408232092,9.353240093700729,0.07621876111697219,0.06914646368973643,0.003459761294755246,0.7700675667968468,0.6759435387387542,0.024155241569876907,1,1.4466666666666668,6.446666666666666,1820,9.4,9.8,21.5,41
312,35.051961984372014,7.849645030731589,46.14595095375729,9.136416094941543,40.16409729255307,13.335690995022361,175.6290046051359,0.38035075059382384,1.9809518721614652,8.58304054975278,1.3149822468390597,9.98180833060883,0.061447223480484967,0.048207047724072256,0.008130319196505848,0.6610624182958132,0.5547628083424395,0.05849880813946026,0.8214285714285714,1.5857142857142856,6.137142857142857,1671.142857142857,6.2,10.3,22.2,39
