LIBID,ZIP,POPU_LSA,MASTER,LIBRARIA,TOTSTAFF,LOCGVT,STGVT,TOTINCM,TOTEXPCO,TOTOPEXP,BKVOL,EBOOK,AUDIO_PH,VIDEO_PH,HRS_OPEN,VISITS,ELMATCIR,PHYSCIR,ELINFO,TOTCOLL,TOTPRO,KIDPRO,YAPRO,TOTATTEN,KIDATTEN,YAATTEN
KS0123,67878,2607,1,3,3.4,218143,1402,228294,11836,241180,14647,108101,953,1288,2184,28912,2320,12702,0,15022,560,422,89,9486,7697,1521
KS0055,67029,1121,0.88,1.13,1.13,98010,977,99487,4250,79377,12897,108101,25,50,2340,3102,1401,2690,0,4091,30,28,0,210,198,0
KS0212,67864,1565,0,2.35,2.35,102744,14043,130384,15366,110012,27250,108101,666,2667,2106,14615,410,21612,0,22022,53,34,7,1136,877,119
KS0128,67877,1950,0,1,2.3,225818,1213,230767,11064,174952,23979,108101,632,449,2106,15889,707,10470,0,11177,65,55,0,1511,1425,0
KS0118,67879,1227,0,0.9,2.15,99500,1006,105610,10505,94578,13976,108101,1124,1809,1162,8164,509,15610,0,16119,129,110,13,1407,774,477
KS0165,67547,1376,0,2.05,2.05,112501,25104,151269,11343,149148,25748,108101,995,2186,2184,12063,433,12430,0,12863,196,101,51,3490,1474,981
KS0227,67560,1338,0,2,2.05,146133,14221,163869,16457,140927,18707,108101,650,1299,1898,10865,875,11908,0,12783,73,59,0,2595,1503,0
KS0286,67855,1987,0,1.25,4.93,312935,2191,331685,20781,272896,26505,108101,982,2312,2678,47275,1355,15316,0,16671,164,143,0,4299,3438,0
KS0170,67839,1560,0,1.6,1.6,77917,1094,88577,4784,78807,19828,108101,606,2146,2392,21035,1274,15113,0,16387,179,110,47,3181,2870,148
KS0317,67861,2105,0,1.25,1.25,64618,1855,70643,9646,70498,18220,108101,304,462,2262,8883,308,9674,0,9982,78,62,9,954,902,25
KS0222,67950,2667,0,4.75,4.75,192000,780,203211,7307,167311,45024,108101,1279,2946,3491,61215,1047,23824,0,24871,191,153,25,2846,2403,227
KS0162,67860,3943,0,2,3.35,316118,2978,325686,16841,293662,30020,151751,2830,5678,2340,15860,2994,32669,0,35663,82,41,20,1996,1694,71
KS0288,67951,5559,2,4,4.5,356453,2748,399211,35860,393379,38210,108101,3615,5371,2709,203473,5467,44257,0,49724,181,123,0,5507,5021,0
KS0274,67871,4897,0,2.38,3.91,212000,2063,229972,23324,205771,47029,108101,2804,1137,2236,34672,4051,69404,0,73455,304,238,38,29338,28838,63
KS0115,67880,7336,0,6,6.5,514927,2843,539061,43265,504625,63825,108101,4331,4713,2268,35399,1251,78585,0,79836,338,228,49,5687,4714,542
KS0178,67901,19495,1,8,12.75,588993,27478,705002,44350,683458,57295,108101,2382,3737,3068,106065,5195,65204,0,70399,373,235,64,6966,4133,1432
KS0070,67801,27329,4,7,22.38,1417116,35395,1797609,101127,1272916,69137,152042,5817,8947,2836,142598,17583,108877,283,126743,169,131,9,4415,3542,185
KS0092,67846,36611,1,1,13.5,910229,10782,998016,121778,1017559,97128,108101,4184,14261,3627,122421,3689,99771,9159,112619,681,408,118,23195,20849,1175
KS0301,66544,102,0,0,0,2212,3351,5563,3694,5432,4965,108101,92,802,624,1182,0,990,0,990,7,7,0,552,552,0
KS0022,66408,373,0,0.6,0.6,24542,12552,37956,6423,33242,9840,108101,507,1228,1040,1911,122,3438,184,3744,12,8,0,80,70,0
KS0276,67757,213,0,0,0,3940,3060,14825,1064,12686,2692,151751,40,105,312,636,283,594,71,948,29,11,5,397,183,48
KS0323,66712,1434,0,0.85,0.85,32735,9282,42017,6394,41125,9078,108101,118,1578,1768,21601,364,6636,6,7006,17,14,3,227,221,6
KS0326,67050,900,0,0.33,0.33,30600,256,30856,8097,24318,5712,108101,83,95,676,3216,828,7144,0,7972,24,20,4,403,340,63
KS0333,67133,3965,0,1,1.78,131595,12010,143605,5547,134398,11324,108101,309,954,2288,5095,1312,9304,0,10616,120,81,13,4713,3477,251
KS0334,66095,397,0,0.8,1.15,25162,17077,44150,5480,41891,14379,108101,69,1775,1664,7562,149,6806,174,7129,228,152,68,880,697,118
KS0342,66531,954,0,0.48,0.63,28227,4937,34844,4422,25346,3583,108101,103,441,1248,5244,74,3402,0,3476,99,70,16,1368,980,118
KS8010,66406,189,0,0,0,1670,1404,3474,0,1920,9242,108101,30,91,468,624,0,916,0,916,0,0,0,0,0,0
KS8011,66076,821,0,0.9,1.6,41733,17222,65231,6954,63781,6950,108101,4,1549,2080,6760,469,3632,94,4195,233,226,4,4140,4060,40
KS8001,66940,629,0,0.6,0.6,27700,5933,33633,4029,21823,4450,151751,180,300,1248,698,51,622,17,690,20,19,0,44,19,0
KS8002,66436,3248,0,2.75,2.95,124778,22689,171559,16564,168850,23581,108101,689,2211,2615,28900,1138,45770,1189,48097,203,164,25,2320,1909,209
KS8003,67649,184,0,0.25,0.25,6938,6036,14470,2965,10948,2626,151751,0,613,520,686,47,1224,0,1271,7,6,0,120,85,0
KS8004,67219,7730,0,1.25,4.25,251406,24680,282786,27487,276086,28620,151751,515,2496,2652,28600,6420,28919,0,35339,54,42,5,736,531,42
KS8006,67001,1800,0,0.63,0.76,34548,6739,47307,5341,44528,19167,108101,56,951,752,2522,771,10721,0,11492,82,53,15,1594,1117,141
KS8007,66054,844,0,0.88,1.17,23476,17601,43302,6328,49630,3322,108101,18,529,1872,5154,501,5154,322,5977,63,39,24,891,692,199
KS8008,66043,11964,1,2,3.7,321999,4831,345167,37651,308438,16947,151751,583,3511,3380,47907,2566,49136,1826,53528,252,215,2,3299,2906,9
KS8009,67352,302,0,0.3,0.3,19775,6358,26578,150,14261,3144,108101,73,335,624,1085,168,1227,0,1395,2,1,1,68,34,34
KS0345,66039,387,0,0.43,0.43,12192,7226,19623,1953,17723,2461,108101,10,648,832,1885,147,2855,39,3041,57,36,16,189,149,22
