district_number,mean_LOCGVT,mean_STGVT,mean_TOTINCM,mean_TOTEXPCO,mean_TOTOPEXP,mean_BKVOL,mean_EBOOK,mean_AUDIO_PH,mean_VIDEO_PH,mean_VISITS,mean_ELMATCIR,mean_PHYSCIR,mean_ELINFO,mean_TOTCOLL,mean_TOTPRO,mean_KIDPRO,mean_YAPRO,mean_TOTATTEN,mean_KIDATTEN,mean_YAATTEN,mean_MASTER,mean_LIBRARIA,mean_TOTSTAFF,mean_HRS_OPEN,total_below_pov,under18_below_pov,ACT_Score,RLA_Scores,School_Year
503,35.024940802874234,6.29169197523247,63.299518706752664,3.342933827620579,56.51776311428064,8.68861686895647,72.26708947084737,0.1583193557127486,0.8919443359985256,5.7650696145711535,0.325319795911298,8.970901174526038,0.18805491398417412,9.484275884421509,0.08548152459702735,0.05939812963668077,0.01555995461429344,0.7236614978406208,0.4552467218261721,0.11213806305540469,0,0.7833333333333333,2.87,1804.6666666666667,21.2,23.1,20.8,31,2019
398,38.800571463210105,7.841575858129192,49.44109919818236,9.122483527563668,42.045232172733385,12.542667720957759,221.19834815816944,0.21514866382687312,2.112497194889806,8.08938699216384,1.2856569511042735,6.4946568291314994,0.11962933044763835,7.89994311068341,0.11977940615606485,0.05906524660618984,0.026565957416346254,0.9005933239398356,0.49335711639204766,0.08570050794860563,0.33714285714285713,1.0014285714285713,2.2214285714285715,1561,12.4,11.3,19.4,22,2019
343,41.437966364059164,7.750383707211384,52.55965943687635,6.807812307346353,52.702676263654766,3.1073147896212907,53.454120512171876,0.13358512168675266,0.44897641390148185,5.820162365326785,0.7308236210582422,8.01063261192507,0.7503761065135633,9.491832339496874,0.05147548947754264,0.0375906348604717,0.008519156534490101,1.0954970562720852,0.9253322718890011,0.09031114362728952,5.449999999999999,5.92,18.4225,2606.5,11.9,21,20.9,29,2019
325,28.583697165311623,31.181049632435897,66.78355438781126,7.9084227559079565,55.17275164199446,22.663026259721747,753.7941866812886,0.570488989898606,1.3367876058568524,8.826439203687535,3.652492389451324,6.773730919952254,0.37965681364605125,10.80588012304963,0.19785411670221065,0.13051169750167108,0.02570230448885342,1.3542737807287846,1.1087451758047626,0.05051049625540503,0,0.504,0.988,1179.6,10.3,19.9,20.2,36,2019
203,80.11865709892363,1.0115325474115837,86.36865709892363,11.753716043054844,84.33944131214761,5.866991286519734,19.44528446950282,0.3038185545873911,0.6098154792414147,14.481163505894413,1.230650948231676,13.25064069707842,0.8678882624295233,15.34917990773962,0.07483341875961046,0.04715530497180933,0.0035879036391594054,2.077139928241927,1.6349308047155304,0.24218349564325986,2,3,8.53,3328,3.2,3.6,21.6,47,2019
250,44.06061056596293,2.1775696302904155,56.04108434929131,3.4447417979978194,51.83898305084746,2.922390722569135,5.409009812667262,0.1519972247001685,0.2631083358112796,5.425314699177322,0.5089206066012489,7.891614629794826,0.5710674992566162,8.971602735652692,0.027703439389434037,0.011398552879373575,0.005798394290811775,1.3664386956090793,0.9556943205471305,0.1744474179799782,2,9,17.35,3328,27,32.7,20.9,35,2019
270,69.44820149798475,5.161881151439861,81.4860948296097,10.567869680763858,79.3270996187416,8.130462283502201,69.50440934348518,0.25225218160978496,0.6053985722695567,10.486336187686012,1.3957131454582508,8.543115056769777,0.7203158784916521,10.65914408071968,0.09822260998837475,0.07355784190147338,0.010057053115574477,1.8187467545410287,1.531976887059766,0.08574768395650323,1,8.56,9.963333333333333,2730,2.1,0.3,20,32,2019
344,93.77887961968288,4.984448781825645,102.13667870251417,8.278788415872718,101.78785160667759,9.810795970626662,123.4062645304402,0.19710822987600315,1.7521792174015027,8.597171196577847,0.1987068182151997,6.619262106307844,0.8006483984978163,7.61861732302086,0.21179404609977973,0.0924511129441806,0.025364581465558877,1.7937253557887614,0.8029519938260111,0.0815763633593235,0.1,2.0975,2.6149999999999998,2044,10.8,6.9,19.2,22,2019
287,59.01948861535261,15.853323789133537,82.83182827649827,9.870318621530723,78.0949159899048,12.246038824454644,94.33255470055961,0.28056405483938707,2.006558247612604,10.026040132740771,0.5454491407822866,12.061551332837153,0.36973128869195826,12.976731762311399,0.16771965137596975,0.12708998617852754,0.02748828523893842,1.7941551867606653,1.568472694861437,0.07562684928731184,0.5771428571428572,1.7914285714285714,3.8971428571428572,2352.285714285714,7.1,8.3,21.6,36,2019
382,30.77952096291808,6.152720218111873,45.213913902901815,6.0286861148620865,41.02932095011726,12.627545667721199,182.6908520814558,0.10225178019838567,0.5620048844994282,8.541416065855342,0.7077602857817705,4.0093042525419005,0.001488095238095238,4.7185526335617665,0.09555322225203347,0.055021655742973304,0.01494104579826826,1.2548390301073957,0.8845416010655393,0.056434250307694674,0,0.5633333333333334,1.8966666666666667,1499.3333333333333,11.8,10.4,20.7,35,2019
311,38.29339412010941,6.772725607330692,50.257792157311506,8.541441989435128,48.15946896183187,17.151052927279903,201.34585561687086,0.35491776157916294,1.5674775856176935,9.108263522723815,0.6335033639804049,8.845227246806973,0.002444282421815931,9.481174893209193,0.08602365634970431,0.061593719054328616,0.012791208090236185,1.2515987919213705,0.9860541936951293,0.10729669471834356,0.675,1.62125,5.80125,1664.75,9.2,15.2,18.7,37,2019
293,61.71937175179753,12.766699690355104,108.92606215449334,4.445153635736647,71.0849661400926,36.53696890971832,455.5337202296793,1.1725692950543967,5.813266275083263,21.62870564951639,0.5162037033456771,12.359139451151748,0.15126519946500513,13.02660835396243,0.12484549794300796,0.08082690519207728,0.010715205052864211,1.6727582333092463,1.4949910689894954,0.04551030914889877,0,1.22,1.4,1754.75,6.3,4.2,18.7,52,2019
384,43.74458680456528,7.752722756311593,52.711222542640996,7.325872988433965,48.84020268938935,12.798917447261479,204.0053131015276,0.27981905528419226,1.0752662116333551,7.369023540504032,0.2118261031438449,7.691944602861704,0,7.903770706005549,0.08525808621295503,0.08104655970636818,0.0035606848000652655,1.3929910726503554,1.3234390826687958,0.05070317539100484,0,0.7275,0.7275,1209.5,4.1,4.8,19.8,47,2019
