LIBID,ZIP,POPU_LSA,MASTER,LIBRARIA,TOTSTAFF,LOCGVT,STGVT,FEDGVT,OTHINCM,TOTINCM,TOTEXPCO,TOTOPEXP,BKVOL,EBOOK,AUDIO_PH,VIDEO_PH,HRS_OPEN,VISITS,ELMATCIR,TOTPRO,KIDPRO,YAPRO,TOTATTEN,KIDATTEN,YAATTEN,YEAR
KS0150,67439,3076,0,1,2.9,130887,11388,250,3009,145534,16492,131948,23603,130307,532,1134,2288,20644,403,104,63,36,2314,948,61,2015
KS0079,67526,2098,1,3.28,3.28,16530,11334,121,5764,33749,11774,38322,27658,130307,1033,1172,2840,25948,375,112,79,13,8179,3519,766,2015
KS0021,66935,1917,0.75,3.1,3.33,143231,9897,0,38578,191706,20834,192679,20120,130307,1471,2630,2496,25191,1841,150,119,9,2775,2413,96,2015
KS0252,67661,2556,0,2.38,2.38,92815,11618,0,16819,121252,13710,98515,25906,130307,725,848,2392,21914,485,302,294,0,413,401,0,2015
KS0139,67544,2664,0,2.13,2.13,88440,14700,0,3000,106140,16945,88609,17223,130307,288,263,1976,10562,356,62,58,1,531,499,2,2015
KS0257,67420,3792,1,3.53,3.91,198753,13798,262,4172,216985,24354,161740,28772,130307,882,1377,2288,16712,687,157,146,11,822,781,41,2015
KS0270,67665,4484,0,1,2.9,152906,13098,177,14036,180217,20939,171406,22557,130307,751,792,2288,25000,1552,261,129,40,3164,1999,321,2015
KS0097,66901,5311,1.38,2.58,4.01,202273,19922,110,4319,226624,29864,214229,39998,130307,683,3149,3022,35725,1631,225,154,11,6585,5784,131,2015
KS0158,67550,6916,0,4.13,4.51,206542,2934,0,5929,215405,39475,208423,43232,130307,701,951,2600,31164,662,225,162,10,1574,890,60,2015
KS0117,67530,15840,1.25,1.25,11.6,644000,24127,302,23193,691622,22765,691622,65758,130307,1575,4350,3004,145000,4008,599,415,111,28639,24767,1746,2015
KS0131,67601,21044,4,22.13,23.88,1406200,30368,0,79169,1515737,208221,1228199,140065,130441,12167,16380,3380,160609,74389,1362,691,375,28156,17106,6156,2015
KS0271,67401,47867,6,6,37.09,2928444,48962,0,95789,3073195,278960,2638882,242402,139764,16751,23503,3692,278632,35924,1584,589,29,33525,20626,793,2015
KS0034,66840,222,0,0.25,0.25,10034,3037,214,245,13530,2673,12627,7513,130307,176,559,689,2504,178,29,19,9,126,79,22,2015
KS0075,66849,263,0,0,0,2176,1920,0,513,4609,1948,3334,2243,130307,30,0,520,700,0,5,5,0,38,36,2,2015
KS0081,66873,297,0,0.25,0.25,6666,1350,254,564,8834,1350,7464,6652,130307,40,25,520,575,0,6,5,1,51,40,2,2015
KS0177,66449,455,0,0.36,0.36,5000,2062,183,45,7290,3181,14667,3955,130307,10,215,741,1617,104,14,14,0,83,83,0,2015
KS0014,66403,409,0,0.3,0.3,7925,1384,0,307,9616,1384,8130,6130,130307,191,467,624,1708,29,12,12,0,120,120,0,2015
KS0110,67053,514,0,0.63,0.64,24085,3239,0,1943,29267,6302,29041,6528,130307,102,672,969,4297,8,46,41,3,720,681,18,2015
KS0140,67451,348,0,0.4,0.4,13570,1880,0,0,15450,1250,9151,2655,130307,0,200,832,832,0,165,157,4,1915,1851,22,2015
KS0315,66872,588,0,0.6,0.6,11000,3000,0,0,14000,11580,16130,18450,130307,0,0,1248,550,0,0,0,0,0,0,0,2015
KS0093,66851,444,0,0.36,0.36,11102,3169,0,3308,17579,2148,19192,4706,130307,0,480,751,3465,34,31,16,4,334,258,21,2015
KS0052,66937,537,0,0.43,0.68,17281,4864,803,1551,24499,4122,16358,3598,130307,0,130,1040,1468,618,31,26,5,410,290,120,2015
KS0310,66548,662,0,0.63,0.63,31350,4722,0,3179,39251,7200,25100,7196,130307,75,1861,1256,7016,32,2,1,1,25,21,4,2015
KS0124,66945,665,0,0.55,0.55,22685,5103,0,0,27788,9333,22374,13610,130307,223,515,1040,5200,497,73,63,9,1287,1153,117,2015
KS0305,67487,967,0,0.89,1.16,41533,4561,0,1348,47442,7536,40909,9942,130307,97,258,1300,5152,0,26,22,4,255,200,55,2015
KS0084,67441,825,0,0.5,0.53,18632,3278,0,0,21910,3361,16940,17648,130307,35,251,1040,2345,30,2,2,0,193,165,0,2015
KS0282,67480,1061,0,0.68,0.71,33016,6455,0,5537,45008,9408,46653,13015,130307,0,270,1404,6760,139,5,5,0,1220,1110,27,2015
KS0098,66427,711,0,1.28,1.78,52333,4579,0,0,56912,6567,60418,14335,130307,382,705,1664,8108,13,98,82,3,1889,1530,60,2015
KS0181,66053,8869,2,3,10.25,689816,3452,0,201620,894888,60050,688145,39789,130934,1865,3258,3068,46250,1610,293,159,18,6072,4902,194,2015
KS0033,66845,1092,0,0.5,0.5,17950,6233,0,0,24183,5843,25225,10200,130307,0,68,832,5075,189,8,8,0,47,47,0,2015
KS0044,67431,1379,0,0.85,0.88,45569,7365,0,937,53871,2975,37475,10362,130307,54,830,1632,6865,250,24,24,0,299,299,0,2015
KS0024,66411,997,0,0.5,0.5,20730,7832,0,7503,36065,4281,30631,5756,130307,5,0,1144,7832,0,17,12,4,615,500,70,2015
KS0309,66968,1087,0,0.88,1.08,56718,6986,0,2978,66682,7712,48395,17966,130307,115,0,1976,7800,105,24,24,0,441,441,0,2015
KS0082,66854,779,0,0.65,0.65,30727,381,269,8335,39712,5444,28644,4023,130307,68,408,1144,9360,163,154,142,7,1202,1047,35,2015
